,Año,Mes,Nacionalidad,Femenino,Masculino,Indefinido,Total,long,lat
7756,2012,Agosto,Venezuela,95,126,,221,-77.35600000000001,0.81488
7757,2012,Agosto,Venezuela,0,10,,10,-75.527794,10.406342
7758,2012,Agosto,Venezuela,462,289,,751,-75.516486,10.446304
7759,2012,Agosto,Venezuela,45,68,,113,-74.77647900000001,10.886686
7760,2012,Agosto,Venezuela,3578,3358,,6936,-72.129595,11.360028999999999
7761,2012,Agosto,Venezuela,2,0,,2,-72.919186,11.52863
7762,2012,Agosto,Venezuela,30,28,,58,-81.70216500000001,12.5862
7763,2012,Agosto,Venezuela,33,54,,87,-76.532004,3.451668
7764,2012,Agosto,Venezuela,1,1,,2,-75.76635300000001,4.45285
7765,2012,Agosto,Venezuela,6480,6578,,13058,-74.140516,4.697157
7766,2012,Agosto,Venezuela,1,9,,10,-75.736374,4.815189
7767,2012,Agosto,Venezuela,562,648,,1210,-75.42726,6.170465
7768,2012,Agosto,Venezuela,3,5,,8,-67.48402800000001,6.185536
7769,2012,Agosto,Venezuela,103,133,,236,-70.74025300000001,7.088728999999999
7770,2012,Agosto,Venezuela,3,8,,11,-73.181317,7.1280470000000005
7771,2012,Agosto,Venezuela,3295,3022,,6317,-72.453013,7.819
7772,2012,Agosto,Venezuela,502,484,,986,-72.508188,7.927233
7773,2012,Agosto,Venezuela,0,1,,1,-76.7333,8.06667
8690,2012,Septiembre,Venezuela,0,4,,4,-76.876446,0.33002
8691,2012,Septiembre,Venezuela,144,156,,300,-77.35600000000001,0.81488
8692,2012,Septiembre,Venezuela,347,311,,658,-75.516486,10.446304
8693,2012,Septiembre,Venezuela,34,81,,115,-74.77647900000001,10.886686
8694,2012,Septiembre,Venezuela,0,4,,4,-74.232675,11.117206
8695,2012,Septiembre,Venezuela,1360,1693,,3053,-72.129595,11.360028999999999
8696,2012,Septiembre,Venezuela,1,0,,1,-72.919186,11.52863
8697,2012,Septiembre,Venezuela,27,16,,43,-81.70216500000001,12.5862
8698,2012,Septiembre,Venezuela,112,104,,216,-76.532004,3.451668
8699,2012,Septiembre,Venezuela,5947,6938,,12885,-74.140516,4.697157
8700,2012,Septiembre,Venezuela,0,7,,7,-75.736374,4.815189
8701,2012,Septiembre,Venezuela,310,366,,676,-75.42726,6.170465
8702,2012,Septiembre,Venezuela,2,3,,5,-67.48402800000001,6.185536
8703,2012,Septiembre,Venezuela,2,0,,2,-77.401154,6.222551999999999
8704,2012,Septiembre,Venezuela,28,47,,75,-70.74025300000001,7.088728999999999
8705,2012,Septiembre,Venezuela,9,7,,16,-73.181317,7.1280470000000005
8706,2012,Septiembre,Venezuela,1801,1765,,3566,-72.453013,7.819
8707,2012,Septiembre,Venezuela,402,444,,846,-72.508188,7.927233
8708,2012,Septiembre,Venezuela,0,2,,2,-76.7333,8.06667
8709,2012,Septiembre,Venezuela,0,1,,1,-77.35002,8.63337
9666,2012,Octubre,Venezuela,0,2,,2,-69.941498,4.191162
9667,2012,Octubre,Venezuela,0,1,,1,-76.876446,0.33002
9668,2012,Octubre,Venezuela,69,83,,152,-77.35600000000001,0.81488
9669,2012,Octubre,Venezuela,0,20,,20,-77.290564,13.97318
9670,2012,Octubre,Venezuela,0,1,,1,-75.527794,10.406342
9671,2012,Octubre,Venezuela,131,153,,284,-75.516486,10.446304
9672,2012,Octubre,Venezuela,35,75,,110,-74.77647900000001,10.886686
9673,2012,Octubre,Venezuela,2,7,,9,-74.232675,11.117206
9674,2012,Octubre,Venezuela,776,1425,,2201,-72.129595,11.360028999999999
9675,2012,Octubre,Venezuela,20,12,,32,-81.70216500000001,12.5862
9676,2012,Octubre,Venezuela,55,81,,136,-76.532004,3.451668
9677,2012,Octubre,Venezuela,1,3,,4,-75.76635300000001,4.45285
9678,2012,Octubre,Venezuela,5287,6649,,11936,-74.140516,4.697157
9679,2012,Octubre,Venezuela,1,12,,13,-75.736374,4.815189
9680,2012,Octubre,Venezuela,313,393,,706,-75.42726,6.170465
9681,2012,Octubre,Venezuela,51,89,,140,-67.48402800000001,6.185536
9682,2012,Octubre,Venezuela,49,101,,150,-70.74025300000001,7.088728999999999
9683,2012,Octubre,Venezuela,2,2,,4,-73.181317,7.1280470000000005
9684,2012,Octubre,Venezuela,1046,1305,,2351,-72.453013,7.819
9685,2012,Octubre,Venezuela,214,302,,516,-72.508188,7.927233
9686,2012,Octubre,Venezuela,0,1,,1,-77.35002,8.63337
10684,2012,Noviembre,Venezuela,2,4,,6,-69.941498,4.191162
10685,2012,Noviembre,Venezuela,0,2,,2,-76.876446,0.33002
10686,2012,Noviembre,Venezuela,36,64,,100,-77.35600000000001,0.81488
10687,2012,Noviembre,Venezuela,3,5,,8,-75.527794,10.406342
10688,2012,Noviembre,Venezuela,72,90,,162,-75.516486,10.446304
10689,2012,Noviembre,Venezuela,27,63,,90,-74.77647900000001,10.886686
10690,2012,Noviembre,Venezuela,0,5,,5,-74.232675,11.117206
10691,2012,Noviembre,Venezuela,0,2,,2,-74.213989,11.247722999999999
10692,2012,Noviembre,Venezuela,749,1391,,2140,-72.129595,11.360028999999999
10693,2012,Noviembre,Venezuela,0,1,,1,-72.919186,11.52863
10694,2012,Noviembre,Venezuela,16,10,,26,-81.70216500000001,12.5862
10695,2012,Noviembre,Venezuela,62,89,,151,-76.532004,3.451668
10696,2012,Noviembre,Venezuela,2,3,,5,-75.76635300000001,4.45285
10697,2012,Noviembre,Venezuela,5158,6676,,11834,-74.140516,4.697157
10698,2012,Noviembre,Venezuela,7,14,,21,-75.736374,4.815189
10699,2012,Noviembre,Venezuela,372,561,,933,-75.42726,6.170465
10700,2012,Noviembre,Venezuela,197,243,,440,-67.48402800000001,6.185536
10701,2012,Noviembre,Venezuela,40,79,,119,-70.74025300000001,7.088728999999999
10702,2012,Noviembre,Venezuela,11,13,,24,-73.181317,7.1280470000000005
10703,2012,Noviembre,Venezuela,1063,1339,,2402,-72.453013,7.819
10704,2012,Noviembre,Venezuela,179,200,,379,-72.508188,7.927233
10705,2012,Noviembre,Venezuela,1,1,,2,-77.35002,8.63337
11709,2012,Diciembre,Venezuela,0,1,,1,-69.941498,4.191162
11710,2012,Diciembre,Venezuela,0,2,,2,-76.876446,0.33002
11711,2012,Diciembre,Venezuela,66,95,,161,-77.35600000000001,0.81488
